"","Feiertage","Datum","istFeiertag"
"1","Neujahrstag","2013-01-01","1"
"2","Karfreitag","2013-03-29","1"
"3","Ostermontag","2013-04-01","1"
"4","Tag der Arbeit","2013-05-01","1"
"5","Christi Himmelfahrt","2013-05-09","1"
"6","Pfingstmontag","2013-05-20","1"
"7","Tag der Deutschen Einheit","2013-10-03","1"
"8","1. Weihnachtstag","2013-12-25","1"
"9","2. Weihnachtstag","2013-12-26","1"
"10","Neujahrstag","2014-01-01","1"
"11","Karfreitag","2014-04-18","1"
"12","Ostermontag","2014-04-21","1"
"13","Tag der Arbeit","2014-05-01","1"
"14","Christi Himmelfahrt","2014-05-29","1"
"15","Pfingstmontag","2014-06-09","1"
"16","Tag der Deutschen Einheit","2014-10-03","1"
"17","1. Weihnachtstag","2014-12-25","1"
"18","2. Weihnachtstag","2014-12-26","1"
"19","Neujahrstag","2015-01-01","1"
"20","Karfreitag","2015-04-03","1"
"21","Ostermontag","2015-04-06","1"
"22","Tag der Arbeit","2015-05-01","1"
"23","Christi Himmelfahrt","2015-05-14","1"
"24","Pfingstmontag","2015-05-25","1"
"25","Tag der Deutschen Einheit","2015-10-03","1"
"26","1. Weihnachtstag","2015-12-25","1"
"27","2. Weihnachtstag","2015-12-26","1"
"28","Neujahrstag","2016-01-01","1"
"29","Karfreitag","2016-03-25","1"
"30","Ostermontag","2016-03-28","1"
"31","Tag der Arbeit","2016-05-01","1"
"32","Christi Himmelfahrt","2016-05-05","1"
"33","Pfingstmontag","2016-05-16","1"
"34","Tag der Deutschen Einheit","2016-10-03","1"
"35","1. Weihnachtstag","2016-12-25","1"
"36","2. Weihnachtstag","2016-12-26","1"
"37","Neujahrstag","2017-01-01","1"
"38","Karfreitag","2017-04-14","1"
"39","Ostermontag","2017-04-17","1"
"40","Tag der Arbeit","2017-05-01","1"
"41","Christi Himmelfahrt","2017-05-25","1"
"42","Pfingstmontag","2017-06-05","1"
"43","Tag der Deutschen Einheit","2017-10-03","1"
"44","1. Weihnachtstag","2017-12-25","1"
"45","2. Weihnachtstag","2017-12-26","1"
"46","Reformationstag","2017-10-31","1"
"47","Neujahrstag","2018-01-01","1"
"48","Karfreitag","2018-03-30","1"
"49","Ostermontag","2018-04-02","1"
"50","Tag der Arbeit","2018-05-01","1"
"51","Christi Himmelfahrt","2018-05-10","1"
"52","Pfingstmontag","2018-05-21","1"
"53","Tag der Deutschen Einheit","2018-10-03","1"
"54","1. Weihnachtstag","2018-12-25","1"
"55","2. Weihnachtstag","2018-12-26","1"
"56","Reformationstag","2018-10-31","1"
"57","Neujahrstag","2019-01-01","1"
"58","Karfreitag","2019-04-19","1"
"59","Ostermontag","2019-04-22","1"
"60","Tag der Arbeit","2019-05-01","1"
"61","Christi Himmelfahrt","2019-05-30","1"
"62","Pfingstmontag","2019-06-10","1"
"63","Tag der Deutschen Einheit","2019-10-03","1"
"64","1. Weihnachtstag","2019-12-25","1"
"65","2. Weihnachtstag","2019-12-26","1"
"66","Reformationstag","2019-10-31","1"
